Fold,Threshold,TP,FP,FN,TN,Acc,Prec,Rec,MCC
1,1e-10,72,10,0,114844,0.9999129874876007,0.8780487804878049,1.0,0.9370017776732263
2,1e-10,71,8,1,114846,0.9999216887388407,0.8987341772151899,0.9861111111111112,0.9413716440798542
3,3.1622776601683794e-11,69,6,3,114847,0.9999216880574288,0.92,0.9583333333333334,0.9389321455488204
4,1e-10,71,4,1,114849,0.9999564933652382,0.9466666666666667,0.9861111111111112,0.9661661156670809
5,3.162277660168379e-06,72,8,0,114845,0.9999303893843812,0.9,1.0,0.9486502575615903
