Fold,Threshold,TP,FP,FN,TN,Acc,Prec,Rec,MCC
1,0.001,72,10,0,114844,0.9999129874876007,0.8780487804878049,1.0,0.9370017776732263
2,0.001,71,10,1,114844,0.9999042862363607,0.8765432098765432,0.9861111111111112,0.9296688092512839
3,1e-11,69,6,3,114847,0.9999216880574288,0.92,0.9583333333333334,0.9389321455488204
4,1e-11,71,4,1,114849,0.9999564933652382,0.9466666666666667,0.9861111111111112,0.9661661156670809
5,1e-11,71,7,1,114846,0.9999303893843812,0.9102564102564102,0.9861111111111112,0.9473911000821346
