Fold,Threshold,TP,FP,FN,TN,Acc,Prec,Rec,MCC
1,19,72,12,0,114842,0.9998955849851209,0.8571428571428571,1.0,0.925771733449207
2,20,71,11,1,114843,0.9998955849851209,0.8658536585365854,0.9861111111111112,0.9239785720033039
3,35,69,6,3,114847,0.9999216880574288,0.92,0.9583333333333334,0.9389321455488204
4,21,71,5,1,114848,0.9999477920382859,0.9342105263157895,0.9861111111111112,0.9597844156409101
5,26,71,8,1,114845,0.9999216880574288,0.8987341772151899,0.9861111111111112,0.9413716437506545
